date,open,high,low,close,volume
2025-08-18,29.8233,29.8333,29.7433,29.8333,2877240.0
2025-08-19,29.8333,29.9133,29.8083,29.8433,3044197.0
2025-08-20,29.8733,29.8733,29.7433,29.8033,2906938.0
2025-08-21,29.7533,29.8333,29.7233,29.8333,2476089.0
2025-08-22,29.8433,30.1033,29.8233,30.0633,2689035.0
2025-08-25,30.0233,30.0733,29.9283,29.9533,2960342.0
2025-08-26,29.9633,30.0133,29.9033,29.9533,2396156.0
2025-08-27,29.9233,29.9833,29.8933,29.9733,2345262.0
2025-08-28,30.0233,30.0233,29.9433,29.9633,2107898.0
2025-08-29,29.9633,29.9683,29.7833,29.8033,3010536.0
2025-09-02,29.694,29.834,29.624,29.814,3602484.0
2025-09-03,29.834,29.894,29.814,29.884,3545541.0
2025-09-04,29.914,30.004,29.884,30.004,2886626.0
2025-09-05,30.139,30.234,30.029,30.224,3575020.0
2025-09-08,30.254,30.374,30.234,30.374,2896147.0
2025-09-09,30.384,30.384,30.1741,30.304,3461789.0
2025-09-10,30.354,30.404,30.314,30.374,2707977.0
2025-09-11,30.434,30.594,30.404,30.554,4069089.0
2025-09-12,30.554,30.554,30.404,30.484,2855074.0
2025-09-15,30.524,30.624,30.524,30.604,2882751.0
2025-09-16,30.604,30.634,30.524,30.614,2619801.0
2025-09-17,30.624,30.7685,30.504,30.604,2710283.0
2025-09-18,30.594,30.664,30.494,30.604,2724561.0
2025-09-19,30.604,30.644,30.454,30.634,3082173.0
2025-09-22,30.574,30.614,30.489,30.584,1960782.0
2025-09-23,30.574,30.6219,30.499,30.544,3655338.0
2025-09-24,30.564,30.5806,30.384,30.384,2562809.0
2025-09-25,30.384,30.384,30.184,30.214,2662148.0
2025-09-26,30.234,30.349,30.224,30.294,1569185.0
2025-09-29,30.344,30.364,30.254,30.289,1896402.0
2025-09-30,30.334,30.344,30.074,30.124,4053838.0
2025-10-01,30.1947,30.4447,30.1747,30.4097,3710223.0
2025-10-02,30.4847,30.4945,30.3297,30.4047,2214273.0
2025-10-03,30.4447,30.5247,30.3747,30.4347,3075042.0
2025-10-06,30.4247,30.4647,30.3447,30.4647,2591582.0
2025-10-07,30.4547,30.5147,30.3347,30.4247,2598299.0
2025-10-08,30.4047,30.4584,30.3647,30.3747,2001077.0
2025-10-09,30.3947,30.4147,30.1347,30.1347,3516451.0
2025-10-10,30.1847,30.2697,29.8047,29.8047,6273107.0
2025-10-13,29.9747,30.0847,29.9289,30.0247,2497518.0
2025-10-14,29.9447,30.1647,29.9047,30.0747,2978217.0
2025-10-15,30.2047,30.2846,30.1347,30.1947,2706650.0
2025-10-16,30.1947,30.2547,29.9547,30.0047,3672448.0
2025-10-17,30.0047,30.0947,29.9447,30.0847,4440551.0
2025-10-20,30.1647,30.3347,30.1647,30.3347,3089052.0
2025-10-21,30.3547,30.4247,30.2697,30.3047,2736870.0
2025-10-22,30.3047,30.3247,30.1147,30.1347,3126722.0
